query_id	update_id	nugget_id	match_start	match_end	auto_p
1	1330003205-a361ee100c9b058a0f0f4355cec64047-0	VMTS13.01.077	35	53	0
1	1329996913-06251bb5df849f4e5efe4245acb1c342-2	VMTS13.01.050	50	74	0
1	1329996320-a8bb0847959520d7f32b2b12d486e33e-1	VMTS13.01.050	50	101	0
1	1329996320-a8bb0847959520d7f32b2b12d486e33e-0	VMTS13.01.078	0	8	0
1	1329996320-a8bb0847959520d7f32b2b12d486e33e-0	VMTS13.01.052	9	25	0
1	1329996320-a8bb0847959520d7f32b2b12d486e33e-0	VMTS13.01.050	29	53	0
1	1329993579-4ff6708235e2148ac570e7079d2e90d9-19	VMTS13.01.064	0	115	0
1	1329993579-4ff6708235e2148ac570e7079d2e90d9-14	VMTS13.01.086	0	99	0
1	1329993579-4ff6708235e2148ac570e7079d2e90d9-0	VMTS13.01.078	133	150	0
1	1329993579-4ff6708235e2148ac570e7079d2e90d9-0	VMTS13.01.077	154	175	0
1	1329993579-4ff6708235e2148ac570e7079d2e90d9-0	VMTS13.01.064	73	128	0
1	1329993579-4ff6708235e2148ac570e7079d2e90d9-0	VMTS13.01.050	0	30	0
1	1329993420-04d15d33dc694e38f0090afb88004f01-2	VMTS13.01.058	18	52	0
1	1329993420-04d15d33dc694e38f0090afb88004f01-2	VMTS13.01.050	18	69	0
1	1329992856-2255be82779659590841451c5f5aebf6-7	VMTS13.01.086	75	153	0
1	1329992856-2255be82779659590841451c5f5aebf6-6	VMTS13.01.060	0	46	0
1	1329992856-2255be82779659590841451c5f5aebf6-6	VMTS13.01.058	27	77	0
1	1329996913-06251bb5df849f4e5efe4245acb1c342-2	VMTS13.01.078	39	46	0
1	1329999700-d720a39f2d8058962abd0f3535f96c2b-2	VMTS13.01.050	22	98	0
1	1330003205-a361ee100c9b058a0f0f4355cec64047-0	VMTS13.01.050	0	24	0
1	1330002512-bbfb07f1e3097ec795005855950050cb-0	VMTS13.01.050	0	26	0
1	1330001280-334c311c1a194fad7a9024acb4e0b0cd-2	VMTS13.01.088	110	126	0
1	1330001280-334c311c1a194fad7a9024acb4e0b0cd-2	VMTS13.01.077	128	146	0
1	1330001280-334c311c1a194fad7a9024acb4e0b0cd-2	VMTS13.01.050	82	110	0
1	1330001280-334c311c1a194fad7a9024acb4e0b0cd-0	VMTS13.01.088	63	72	0
1	1330001280-334c311c1a194fad7a9024acb4e0b0cd-0	VMTS13.01.050	41	87	0
1	1329999803-748aa14e9ae4cf72bae4f9f350ab720d-0	VMTS13.01.078	34	51	0
1	1329999803-748aa14e9ae4cf72bae4f9f350ab720d-0	VMTS13.01.050	0	34	0
1	1329999700-d720a39f2d8058962abd0f3535f96c2b-4	VMTS13.01.056	53	74	0
