run	front_frac	avg_front_gain	avg_front_pain
UWMDSqlec2t25	1.000	30.375	131.930
rg3	1.000	25.875	99.847
run1	1.000	14.903	20.959
cluster1	0.875	15.937	40.269
run2	0.875	15.444	22.571
cluster5	0.875	6.762	9.778
cluster3	0.750	9.649	16.296
UWMDSqlec4t50	0.625	33.311	164.622
EXTERNAL	0.625	24.133	106.289
BasePred	0.500	21.278	103.500
uogTrNMM	0.500	19.111	98.222
TuneExternal2	0.500	12.333	25.889
cluster2	0.375	13.037	26.629
rg4	0.125	30.444	137.889
Baseline	0.125	19.556	77.556
rg1	0.125	16.000	34.333
