run	front_frac	avg_front_gain	avg_front_pain
input.UWMDSqlec2t25	1.000	38.111	188.844
input.UWMDSqlec4t50	1.000	36.422	186.755
input.rg3	1.000	31.644	154.800
input.EXTERNAL	1.000	23.556	98.156
input.uogTrNMM	1.000	18.933	96.178
input.cluster1	1.000	16.822	44.623
input.run1	1.000	16.333	26.067
input.run2	1.000	16.067	25.445
input.TuneExternal2	1.000	11.933	23.911
input.cluster3	1.000	9.556	15.200
input.cluster5	1.000	6.222	8.400
input.CosineEgrep	1.000	0.556	7.667
input.rg4	0.400	31.444	158.945
input.Baseline	0.200	24.000	116.889
